CGI_ID,SPID,evalue,Description,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Column7
CGI_10008972,P48416,3E-56,Cytochrome P450 10,,,,,,,
CGI_10008974,O15162,6E-68,Phospholipid scramblase 1,,,,,,,
CGI_10008977,P0C6B8,2E-19,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",,,,,,,
CGI_10008981,O15213,1E-165,WD repeat-containing protein 46,,,,,,,
CGI_10008988,P54513,4E-18,Uncharacterized protein yqhO,CGI_10008988,120.164484068434,-1.14320992001183,0.346421056998742,-3.30005898000589,0.000966645110288306,0.00923862617580204
CGI_10008989,Q09654,3E-09,E3 ubiquitin-protein ligase arc-1,,,,,,,
CGI_10008990,D3ZQG6,3E-10,Tripartite motif-containing protein 2,,,,,,,
CGI_10008995,O57321,2E-146,Excitatory amino acid transporter 1,,,,,,,
CGI_10008996,Q9I8C7,2E-77,Neuronal acetylcholine receptor subunit alpha-10,,,,,,,
CGI_10009002,Q2T9W6,2E-64,Leucine-rich repeat flightless-interacting protein 2,,,,,,,
CGI_10009003,D2GXS7,7E-10,Tripartite motif-containing protein 2,,,,,,,
CGI_10009004,Q6PFY8,6E-09,Tripartite motif-containing protein 45,,,,,,,
CGI_10009007,D2GXS7,8E-11,Tripartite motif-containing protein 2,,,,,,,
CGI_10009009,Q96NG8,2E-54,Zinc finger protein 582,,,,,,,
CGI_10009010,Q8BGZ4,5E-17,Cell division cycle protein 23 homolog,,,,,,,
CGI_10009011,Q4A0V8,1E-18,Uro-adherence factor A,CGI_10009011,1610.98593765755,0.831846713770201,0.275378903870629,3.0207350747572,0.00252161883958408,0.0189081095010305
CGI_10009013,Q9VC61,4E-45,UPF0474 protein CG13624,,,,,,,
CGI_10009014,Q6DCQ8,9E-178,Phosphatidylinositol 4-kinase type 2-beta,CGI_10009014,510.675358865104,1.64767545351615,0.331762515285941,4.9664304362295,6.81964997334779E-07,2.78299758486831E-05
CGI_10009015,Q8CGF7,3E-164,Transcription elongation regulator 1,,,,,,,
CGI_10009016,Q8K0U4,4E-61,Heat shock 70 kDa protein 12A,,,,,,,
CGI_10009017,Q8K0U4,4E-71,Heat shock 70 kDa protein 12A,,,,,,,
CGI_10009020,Q8K0U4,3E-48,Heat shock 70 kDa protein 12A,CGI_10009020,23.8957235570099,-1.31387185436598,0.407566310176384,-3.22370083483439,0.0012654552735887,0.0113364932963247
CGI_10009028,P19984,3E-20,Profilin-2,,,,,,,
CGI_10009029,Q8K4R9,3E-32,Disks large-associated protein 5,,,,,,,
CGI_10009030,Q9LDU6,2E-145,7-dehydrocholesterol reductase,,,,,,,
CGI_10009031,P17972,2E-86,Potassium voltage-gated channel protein Shaw,,,,,,,
CGI_10009032,P17972,1E-61,Potassium voltage-gated channel protein Shaw,,,,,,,
CGI_10009034,Q9NXW9,1E-76,Probable alpha-ketoglutarate-dependent dioxygenase ABH4,CGI_10009034,34.5703438467641,-1.58044584613536,0.457660908075911,-3.45331186965442,0.000553748402121244,0.00605179165395183
CGI_10009035,Q6GM71,2E-61,Leucine-rich repeat and WD repeat-containing protein 1,,,,,,,
CGI_10009037,Q9UA35,7E-68,Solute carrier family 28 member 3,,,,,,,
CGI_10009038,Q9UA35,4E-106,Solute carrier family 28 member 3,,,,,,,
CGI_10009040,O42611,0,Protein HIRA,,,,,,,
CGI_10009041,Q9Y4D8,0,Probable E3 ubiquitin-protein ligase C12orf51,,,,,,,
CGI_10009044,Q5E9T6,9E-14,Leucine-rich glioma-inactivated protein 1,,,,,,,
CGI_10009045,P86952,5E-39,Tyrosinase-like protein,CGI_10009045,219.167973694836,-1.27090935830656,0.458686831969426,-2.77075614499279,0.00559262932710028,0.0342486048830726
CGI_10009046,Q9BXX0,3E-06,EMILIN-2,,,,,,,
CGI_10009047,P63182,1E-11,Cerebellin-1,,,,,,,
CGI_10009048,P63182,2E-11,Cerebellin-1,,,,,,,
CGI_10009049,P63182,5E-11,Cerebellin-1,,,,,,,
CGI_10009051,Q501Z5,1E-151,"tRNA modification GTPase GTPBP3, mitochondrial",CGI_10009051,20.735032183106,-1.57153713168339,0.503320917957267,-3.12233621853328,0.00179421905131939,0.0146451425328035
CGI_10009052,Q5BIM1,4E-13,Tripartite motif-containing protein 45,,,,,,,
CGI_10009053,Q0IH86,3E-102,Structure-specific endonuclease subunit slx1,CGI_10009053,41.8607633113145,-1.13184251203856,0.408994255344586,-2.76737997477485,0.00565088492146505,0.0344615535295087
CGI_10009054,Q96B67,6E-94,Arrestin domain-containing protein 3,,,,,,,
CGI_10009055,Q6IR75,0,COP9 signalosome complex subunit 2,CGI_10009055,55.0676795928545,-1.62452379848118,0.413341929096953,-3.93021777885044,8.48689569451286E-05,0.00142663154619419
CGI_10009056,Q5U550,2E-27,.,,,,,,,
CGI_10009057,P50224,1E-30,Sulfotransferase 1A3/1A4,,,,,,,
CGI_10009059,Q8UWA5,2E-73,Carbonic anhydrase 2,,,,,,,
CGI_10009060,Q8UWA5,5E-71,Carbonic anhydrase 2,,,,,,,
CGI_10009063,P98167,4E-17,SCO-spondin,,,,,,,
CGI_10009064,O14662,4E-100,Syntaxin-16,,,,,,,
CGI_10009066,Q68DL7,2E-11,.,,,,,,,
CGI_10009067,Q68DL7,7E-07,.,,,,,,,
CGI_10009068,Q5TF39,6E-28,Sodium-dependent glucose transporter 1,,,,,,,
CGI_10009069,A3KPN8,5E-29,Tetratricopeptide repeat protein 38,,,,,,,
CGI_10009070,A3KMP2,8E-30,Tetratricopeptide repeat protein 38,,,,,,,
CGI_10009071,Q6UB98,7E-12,Ankyrin repeat domain-containing protein 12,,,,,,,
CGI_10009072,P17221,2E-14,Sex-determining protein fem-1,,,,,,,
CGI_10009074,P0C1J6,8E-09,FK506-binding protein 4,,,,,,,
CGI_10009075,Q9YGM8,1E-31,Caveolin-1,,,,,,,
CGI_10009076,Q8AV57,0,Protein sidekick-2,,,,,,,
CGI_10009077,Q96SY0,3E-38,.,,,,,,,
CGI_10009078,O54701,1E-117,Sodium/potassium/calcium exchanger 2,,,,,,,
CGI_10009079,Q9UI40,1E-50,Sodium/potassium/calcium exchanger 2,,,,,,,
CGI_10009080,O35462,3E-19,Angiopoietin-2,,,,,,,
CGI_10009082,Q9BY76,3E-11,Angiopoietin-related protein 4,,,,,,,
CGI_10009083,O35608,1E-30,Angiopoietin-2,,,,,,,
CGI_10009087,P54145,2E-48,Putative ammonium transporter 1,,,,,,,
CGI_10009088,P54145,5E-54,Putative ammonium transporter 1,CGI_10009088,404.473770544989,1.01214631007841,0.290760073810648,3.48103608866721,0.000499478188628523,0.00561876343571559
CGI_10009089,P54145,5E-102,Putative ammonium transporter 1,CGI_10009089,385.250382124616,1.50488750734788,0.508357175161501,2.96029559702739,0.0030734399421633,0.0219058261206585
CGI_10009092,P21333,4E-92,Filamin-A,CGI_10009092,754.79164514419,0.910662443951179,0.320874534648121,2.83806393346183,0.00453880903738235,0.0293507610711374
CGI_10009093,Q14315,8E-51,Filamin-C,,,,,,,
CGI_10009099,Q96MM6,1E-17,Heat shock 70 kDa protein 12B,,,,,,,
CGI_10009100,Q6MG64,2E-20,Protein G7c,,,,,,,
CGI_10009101,Q9JHA8,3E-22,Protein G7c,,,,,,,
CGI_10009102,Q6P6R0,5E-34,Glutamate [NMDA] receptor-associated protein 1,,,,,,,
CGI_10009103,Q6P1V8,0,Zygotic DNA replication licensing factor mcm6,,,,,,,
CGI_10009104,A1A5G0,0,CLIP-associating protein 1,,,,,,,
CGI_10009105,Q8N2E2,2E-51,von Willebrand factor D and EGF domain-containing protein,CGI_10009105,97.6007741734994,2.11210320658492,0.391070388481669,5.40082621643935,6.63346640753188E-08,3.78660374096612E-06
CGI_10009108,A4IF63,4E-31,Tripartite motif-containing protein 2,,,,,,,
CGI_10009111,P41823,1E-163,Synaptotagmin-1,CGI_10009111,490.997994853563,1.28052474603766,0.408284239691707,3.13635605186372,0.00171061388529867,0.0141787270181627
CGI_10009112,Q28BK1,0,E3 ubiquitin-protein ligase HACE1,,,,,,,
CGI_10009113,Q9ULV1,0,Frizzled-4,,,,,,,
CGI_10009115,Q6GQ39,8E-30,Transmembrane protein 135,,,,,,,
CGI_10009117,A6QQ68,2E-24,.,,,,,,,
CGI_10009119,Q80V70,1E-46,Multiple epidermal growth factor-like domains protein 6,CGI_10009119,173.908207984632,1.63277087494277,0.523130444875799,3.1211543716031,0.00180143573845099,0.0146902795337968
CGI_10009120,Q6DIB5,2E-15,Multiple epidermal growth factor-like domains protein 10,,,,,,,
CGI_10009121,Q7Z5P4,1E-76,17-beta-hydroxysteroid dehydrogenase 13,,,,,,,
CGI_10009122,Q13895,2E-160,Bystin,CGI_10009122,97.9031002840469,-0.988881962289601,0.349210128536732,-2.83176769938843,0.00462914660407111,0.0297902030998711
CGI_10009123,Q20930,7E-29,ADAM family mig-17,,,,,,,
CGI_10009124,Q8VDG5,4E-81,Phosphopantothenate--cysteine ligase,,,,,,,
CGI_10009125,Q5R8R4,7E-179,CWF19-like protein 1,,,,,,,
CGI_10009126,Q32NQ7,1E-88,.,,,,,,,
CGI_10009127,Q9Y296,2E-101,Trafficking protein particle complex subunit 4,,,,,,,
CGI_10009128,O70263,1E-24,E3 ubiquitin-protein ligase LNX,,,,,,,
CGI_10009129,Q8N448,2E-106,Ligand of Numb protein X 2,CGI_10009129,251.986682473231,1.17350801011193,0.322537748610261,3.63835865776423,0.000274381143354803,0.00358489804464927
CGI_10009130,P0C7U5,1E-07,C5a anaphylatoxin chemotactic receptor,CGI_10009130,48.1970807513204,-1.48699507553271,0.522349309896239,-2.84674459669162,0.00441687830880988,0.0287427687060443
CGI_10009131,Q619T5,2E-08,Ras and EF-hand domain-containing protein homolog,,,,,,,
CGI_10009132,Q08CX1,1E-113,Ras and EF-hand domain-containing protein,,,,,,,
CGI_10009133,Q5RJA1,0,DNA-binding protein RFX6,,,,,,,
CGI_10009134,Q9QYL7,1E-43,Activator of basal transcription 1,,,,,,,
CGI_10009135,Q3TZZ7,3E-87,Extended synaptotagmin-2,,,,,,,
CGI_10009137,A2AJ76,5E-08,Hemicentin-2,,,,,,,
CGI_10009138,Q86Y13,1E-06,E3 ubiquitin-protein ligase DZIP3,,,,,,,
CGI_10009142,Q8BQZ4,0,Ral GTPase-activating protein subunit beta,,,,,,,
CGI_10009143,Q8C525,2E-09,Protein MB21D2,,,,,,,
CGI_10009148,P10079,3E-142,Fibropellin-1,,,,,,,
CGI_10009149,P15308,1E-08,Protein B4,CGI_10009149,24.5124439273239,-2.04552915653304,0.476457572709631,-4.29320315951752,1.76113720248217E-05,0.000404534269983331
CGI_10009153,Q8R0K4,6E-17,Coiled-coil domain-containing protein 137,CGI_10009153,103.414912470794,-1.15831555223602,0.341981422959494,-3.38707156140823,0.000706429587373524,0.00731604723856598
CGI_10009154,Q5BKU9,1E-09,Uncharacterized protein C17orf90,,,,,,,
CGI_10009156,A0JPI9,2E-22,.,,,,,,,
CGI_10009157,Q5E9A5,6E-06,Growth arrest and DNA damage-inducible protein GADD45 beta,CGI_10009157,106.388280324407,1.66372278322406,0.4207939753307,3.95377044530295,7.6929219554359E-05,0.00131859019754478
CGI_10009158,P48317,2E-11,Growth arrest and DNA damage-inducible protein GADD45 alpha,,,,,,,
CGI_10009159,Q6DIB5,3E-09,Multiple epidermal growth factor-like domains protein 10,,,,,,,
CGI_10009160,Q9WTW8,3E-107,Solute carrier family 23 member 2,CGI_10009160,71.0723125057303,1.35283983000854,0.34950499989247,3.87073097788233,0.000108509488350178,0.00172858138418307
CGI_10009161,P13608,4E-17,Aggrecan core protein,,,,,,,
CGI_10009164,P30050,1E-81,60S ribosomal protein L12,,,,,,,
CGI_10009165,Q5ZHN4,2E-123,Protein XRP2,,,,,,,
CGI_10009166,Q8C0R9,3E-46,Leucine-rich repeat and death domain-containing protein 1,,,,,,,
CGI_10009167,Q9QXL2,0,Kinesin-like protein KIF21A,CGI_10009167,242.887439824626,1.42158086757249,0.347727865792869,4.08819944392746,4.34734322977745E-05,0.000836329419730506
CGI_10009169,Q7Z4S6,4E-113,Kinesin-like protein KIF21A,CGI_10009169,109.641076371809,1.06880097662722,0.377931081400291,2.82803143014105,0.00468352080618625,0.0300133408161217
CGI_10009170,Q1RI12,5E-07,.,,,,,,,
CGI_10009171,Q01177,3E-10,Plasminogen,,,,,,,
CGI_10009174,Q9P785,9E-11,LisH domain-containing protein C1711.05,,,,,,,
CGI_10009175,Q6QN04,7E-43,"DNA-directed RNA polymerases I, II, and III subunit RPABC5",,,,,,,
CGI_10009176,Q5ZEQ8,1E-31,Four-jointed box protein 1,,,,,,,
CGI_10009177,Q5RBM1,3E-117,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,,,,,,,
CGI_10009178,O43399,1E-10,.,,,,,,,
CGI_10009180,Q96RW7,7E-89,Hemicentin-1,CGI_10009180,80.2660270033782,1.6619747587786,0.404842770507414,4.10523511805717,4.03903860404869E-05,0.000790497555363815
CGI_10009182,Q9Z2X8,3E-45,Kelch-like ECH-associated protein 1,,,,,,,
CGI_10009185,P17694,0,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",,,,,,,
CGI_10009186,Q5JXM2,2E-10,UPF0624 protein C6orf186,,,,,,,
CGI_10009193,Q8WU66,1E-96,Protein TSPEAR,,,,,,,
CGI_10009194,A2AX52,1E-37,Collagen alpha-4(VI) chain,,,,,,,
CGI_10009195,C7G0B5,2E-17,PIF,,,,,,,
CGI_10009197,P83673,6E-09,Lysozyme 1,,,,,,,
CGI_10009199,P83673,4E-06,Lysozyme 1,CGI_10009199,263.637997728383,1.30247592946276,0.441658048415241,2.94905964951008,0.00318742449044632,0.0224430255971955
CGI_10009201,P83673,9E-08,Lysozyme 1,,,,,,,
CGI_10009207,D2GXS7,7E-11,Tripartite motif-containing protein 2,,,,,,,
CGI_10009208,P09057,6E-135,Ornithine decarboxylase,,,,,,,
CGI_10009211,Q9BXS5,0,AP-1 complex subunit mu-1,,,,,,,
CGI_10009212,P35978,2E-33,Kinesin heavy chain,,,,,,,
CGI_10009214,Q2TA24,4E-61,V-type proton ATPase 21 kDa proteolipid subunit,,,,,,,
CGI_10009215,B1AY13,0,Ubiquitin carboxyl-terminal hydrolase 24,,,,,,,
CGI_10009216,P12370,0,cAMP-dependent protein kinase catalytic subunit,,,,,,,
CGI_10009217,Q9QUK6,6E-26,Toll-like receptor 4,,,,,,,
CGI_10009219,P49596,2E-145,Probable protein phosphatase 2C T23F11.1,,,,,,,
CGI_10009220,Q99J23,4E-61,GH3 domain-containing protein,,,,,,,
CGI_10009221,O15173,1E-59,Membrane-associated progesterone receptor component 2,,,,,,,
CGI_10009222,P55931,0,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",,,,,,,
CGI_10009223,A7YY62,6E-88,FTS and Hook-interacting protein,,,,,,,
CGI_10009225,Q6NRD3,4E-84,E3 ubiquitin-protein ligase SH3RF1,,,,,,,
CGI_10009226,Q7LZR2,5E-06,Collagen alpha-1(VIII) chain,,,,,,,
CGI_10009230,Q95029,1E-68,Cathepsin L,,,,,,,
CGI_10009231,Q26636,5E-107,Cathepsin L,CGI_10009231,1020.63041190874,1.14583291883057,0.329136631932336,3.48132905202157,0.000498932146870455,0.00561591465784937
CGI_10009232,Q3SZZ7,2E-54,Fibrinogen-like protein 1,,,,,,,
CGI_10009233,Q9W3W5,8E-53,Protein shifted,,,,,,,
CGI_10009234,Q9Y2M2,3E-59,.,,,,,,,
CGI_10009235,Q9HC24,2E-77,Transmembrane BAX inhibitor motif-containing protein 4,,,,,,,
CGI_10009236,Q9HC24,2E-41,Transmembrane BAX inhibitor motif-containing protein 4,,,,,,,
CGI_10009237,Q9ESN6,4E-10,Tripartite motif-containing protein 2,,,,,,,
CGI_10009238,O75382,1E-10,Tripartite motif-containing protein 3,,,,,,,
CGI_10009239,Q2M389,0,WASH complex subunit 7,,,,,,,
CGI_10009242,P12804,9E-18,Fibroleukin,,,,,,,
CGI_10009249,Q921L8,9E-165,Polypeptide N-acetylgalactosaminyltransferase 11,,,,,,,
CGI_10009254,Q5R9F4,1E-65,Rho-related GTP-binding protein RhoE,CGI_10009254,627.255912427734,1.36086293248622,0.35450616701108,3.83875672448792,0.000123658876002024,0.0019096435118509
CGI_10009255,Q07617,3E-46,Sperm-associated antigen 1,,,,,,,
CGI_10009256,Q13617,0,Cullin-2,,,,,,,
CGI_10009260,Q3EC11,4E-52,Probable S-acyltransferase At2g14255,,,,,,,
CGI_10009261,Q9W391,0,Probable phosphorylase b kinase regulatory subunit alpha,,,,,,,
CGI_10009263,P80928,4E-08,Macrophage migration inhibitory factor,,,,,,,
CGI_10009264,Q96P09,6E-11,Baculoviral IAP repeat-containing protein 8,,,,,,,
CGI_10009269,Q7Z5L3,1E-08,Complement C1q-like protein 2,,,,,,,
CGI_10009270,Q9H8L6,2E-08,Multimerin-2,,,,,,,
CGI_10009272,Q9H8L6,2E-09,Multimerin-2,,,,,,,
CGI_10009273,Q9D8U4,4E-09,Complement C1q tumor necrosis factor-related protein 2,,,,,,,
CGI_10009274,Q9H8L6,2E-10,Multimerin-2,,,,,,,
CGI_10009275,Q9H8L6,1E-08,Multimerin-2,,,,,,,
CGI_10009277,Q91Z53,6E-117,Glyoxylate reductase/hydroxypyruvate reductase,,,,,,,
CGI_10009278,P70582,3E-132,Nuclear pore complex protein Nup54,CGI_10009278,731.364037014106,0.717967977586564,0.272316171357872,2.63652347198663,0.00837604051410869,0.0458613922525278
CGI_10009280,P07228,8E-25,Integrin beta-1,,,,,,,
CGI_10009281,P11584,7E-101,Integrin beta-PS,,,,,,,
CGI_10009282,Q2KJJ0,0,Pre-mRNA-processing factor 6,,,,,,,
CGI_10009284,Q8N2E2,2E-20,von Willebrand factor D and EGF domain-containing protein,CGI_10009284,282.247735004515,-2.204887110342,0.477196830077522,-4.620498233368,3.82819603871042E-06,0.000114905790332498
CGI_10009285,Q80T32,5E-31,Probable G-protein coupled receptor 133,,,,,,,
CGI_10009286,Q92622,2E-57,Run domain Beclin-1 interacting and cystein-rich containing protein,,,,,,,
CGI_10009287,Q9P2N4,7E-06,A disintegrin and metalloproteinase with thrombospondin motifs 9,,,,,,,
CGI_10009290,P82596,1E-10,Perlucin,,,,,,,
CGI_10009291,P50225,8E-20,Sulfotransferase 1A1,,,,,,,
CGI_10009292,P50225,2E-33,Sulfotransferase 1A1,,,,,,,
CGI_10009296,Q6AYN4,3E-23,Phytanoyl-CoA hydroxylase-interacting protein-like,,,,,,,
CGI_10009297,Q9HC56,3E-91,Protocadherin-9,,,,,,,
CGI_10009298,Q9HC56,4E-102,Protocadherin-9,,,,,,,
CGI_10009300,Q9HC56,4E-123,Protocadherin-9,,,,,,,
CGI_10009301,Q6WYY1,1E-118,Protocadherin-11 X-linked,,,,,,,
CGI_10009304,Q9NQ86,2E-06,E3 ubiquitin-protein ligase TRIM36,,,,,,,
CGI_10009306,Q96MM6,2E-35,Heat shock 70 kDa protein 12B,CGI_10009306,307.254013943428,-0.870598734360638,0.291601841831377,-2.98557350973137,0.00283047098985063,0.0205404591696311
CGI_10009310,P11177,6E-166,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",,,,,,,
CGI_10009312,P98133,9E-113,Fibrillin-1,,,,,,,
CGI_10009313,A5D7I4,0,Exostosin-1,CGI_10009313,185.535305648219,1.76201628859831,0.308260079518323,5.71600543071153,1.09057253898226E-08,8.13898104968086E-07
CGI_10009314,A7YWI9,3E-77,Tyrosyl-DNA phosphodiesterase 2,,,,,,,
CGI_10009315,O75069,2E-91,Transmembrane and coiled-coil domains protein 2,,,,,,,
CGI_10009317,P22717,1E-86,Guanylate cyclase soluble subunit beta-2,,,,,,,
CGI_10009318,Q19673,1E-46,Putative tyrosinase-like protein tyr-3,CGI_10009318,2107.23471983329,1.46679007152988,0.469755006611589,3.122457559548,0.00179347961538073,0.0146451425328035
CGI_10009319,P34269,1E-55,Putative tyrosinase-like protein tyr-1,,,,,,,
CGI_10009320,Q6NV18,1E-22,Non-homologous end-joining factor 1,,,,,,,
CGI_10009321,A6QR20,3E-12,Ankyrin repeat domain-containing protein 32,,,,,,,
CGI_10009323,Q5BIP8,6E-09,DnaJ homolog subfamily B member 5,,,,,,,
CGI_10009325,Q5TZ51,3E-32,Protein Mpv17,,,,,,,
CGI_10009326,P02402,3E-25,60S acidic ribosomal protein P1,,,,,,,
CGI_10009327,Q91W90,4E-119,Thioredoxin domain-containing protein 5,,,,,,,
CGI_10009328,A6N6J5,0,WD repeat-containing protein 35,CGI_10009328,398.667119436673,0.849356988849383,0.218643149547178,3.8846723101476,0.000102467999088648,0.00165294815911711
CGI_10009331,Q92847,6E-15,Growth hormone secretagogue receptor type 1,,,,,,,
CGI_10009336,P18172,8E-51,Glucose dehydrogenase [acceptor],,,,,,,
CGI_10009337,Q9WWW2,1E-27,Alcohol dehydrogenase [acceptor],CGI_10009337,168.885081248788,-1.03455140064762,0.389642826210068,-2.65512754516841,0.00792784269706588,0.0439976918199432
CGI_10009338,Q9WWW2,5E-112,Alcohol dehydrogenase [acceptor],,,,,,,
CGI_10009339,Q17RS7,9E-43,Flap endonuclease GEN homolog 1,,,,,,,
CGI_10009340,Q5RDB5,6E-62,Protein cornichon homolog,,,,,,,
CGI_10009341,Q6R5J2,3E-143,Protein dispatched homolog 1,,,,,,,
CGI_10009344,B5X7E4,1E-45,Intraflagellar transport protein 43 homolog B,,,,,,,
CGI_10009345,Q96L03,9E-66,Spermatogenesis-associated protein 17,,,,,,,
CGI_10009347,A6QQL5,1E-13,.,,,,,,,
CGI_10009348,Q7Z6M2,2E-35,.,CGI_10009348,97.0255888864183,1.97183076331413,0.404674783026106,4.87263068029353,1.10121966923086E-06,4.11729207159382E-05
CGI_10009354,P49442,5E-70,Inositol polyphosphate 1-phosphatase,,,,,,,
CGI_10009355,E1BB52,1E-166,Cyclin-dependent kinase 13,,,,,,,
CGI_10009356,Q5JXM2,1E-13,UPF0624 protein C6orf186,,,,,,,
CGI_10009358,Q8AXU4,5E-60,Calcitonin gene-related peptide type 1 receptor,,,,,,,
CGI_10009361,O13997,7E-07,Protein IMPACT homolog,,,,,,,
CGI_10009367,Q9CT10,6E-08,Ran-binding protein 3,CGI_10009367,387.331083015873,-0.851233767020923,0.295622301781318,-2.8794639710593,0.00398351810671769,0.0264647998915293
CGI_10009368,Q9CR41,3E-29,Huntingtin-interacting protein K,CGI_10009368,309.455374840781,-0.998307520535934,0.297694590206701,-3.35346208287752,0.000798073476711966,0.00800529872156913
CGI_10009369,O75161,0,Nephrocystin-4,,,,,,,
CGI_10009370,Q640L5,2E-06,Coiled-coil domain-containing protein 18,,,,,,,
CGI_10009372,E9Q555,5E-77,Uncharacterized protein,,,,,,,
CGI_10009373,Q1JPD8,6E-46,Solute carrier family 43 member 3,CGI_10009373,87.0296999682089,-1.27009112660977,0.383483993531649,-3.31197950379367,0.000926383327306451,0.00895653228683852
CGI_10009374,Q9UNN5,2E-68,FAS-associated factor 1,CGI_10009374,403.143504253017,0.842515064319683,0.313445916656512,2.68791207525268,0.00719003261502727,0.0408882299009133
CGI_10009375,Q99973,3E-31,Telomerase protein component 1,,,,,,,
CGI_10009376,Q501S4,4E-15,"Methyltransferase-like protein 12, mitochondrial",,,,,,,
CGI_10009377,Q91YA9,8E-07,Aryl hydrocarbon receptor nuclear translocator-like protein 1,,,,,,,
CGI_10009378,Q0VA82,1E-125,Major facilitator superfamily domain-containing protein 8,,,,,,,
CGI_10009379,P07190,9E-128,Probable maltase H,,,,,,,
CGI_10009380,Q9CQR6,0,Serine/threonine-protein phosphatase 6 catalytic subunit,CGI_10009380,243.375393981005,-1.25699435104434,0.314957861163947,-3.99099214859738,6.57974588493111E-05,0.00116635421509222
CGI_10009381,O75382,2E-11,Tripartite motif-containing protein 3,CGI_10009381,200.470507753715,-1.4476997320102,0.280859526284368,-5.15453312608817,2.54263612204562E-07,1.21011813451203E-05
CGI_10009382,Q9ESN6,5E-07,Tripartite motif-containing protein 2,CGI_10009382,86.1294904721626,-1.0032078573962,0.369784087732473,-2.71295572383307,0.00666860160516589,0.0386883783385002
CGI_10009383,Q9VZW5,5E-15,FMRFamide receptor,,,,,,,
CGI_10009384,Q6GQB9,0,ER degradation-enhancing alpha-mannosidase-like 3,,,,,,,
CGI_10009386,O43301,8E-12,Heat shock 70 kDa protein 12A,,,,,,,
CGI_10009387,Q4UMH6,2E-27,Putative ankyrin repeat protein RF_0381,,,,,,,
CGI_10009390,P41437,1E-14,E3 ubiquitin-protein ligase IAP-3,,,,,,,
CGI_10009391,Q1ZXD6,6E-06,Probable serine/threonine-protein kinase roco5,,,,,,,
CGI_10009392,A1A5S1,0,Pre-mRNA-processing factor 6,CGI_10009392,115.882845630704,-1.24031911048282,0.379522079310923,-3.26810791281182,0.00108269075891288,0.0100240367175086
CGI_10009394,A2VD82,5E-144,Tetratricopeptide repeat protein 38,,,,,,,
CGI_10009395,P20965,1E-163,Polyadenylate-binding protein 1-A,,,,,,,
CGI_10009396,A0JM12,2E-06,Multiple epidermal growth factor-like domains protein 10,,,,,,,
CGI_10009400,Q60992,1E-169,Guanine nucleotide exchange factor VAV2,,,,,,,
CGI_10009402,Q5EA50,2E-103,Rab9 effector protein with kelch motifs,,,,,,,
CGI_10009404,Q9R1A8,0,E3 ubiquitin-protein ligase RFWD2,,,,,,,
CGI_10009405,P21520,1E-44,Protein scabrous,,,,,,,
CGI_10009406,Q8R0M8,5E-29,"Solute carrier family 16 (Monocarboxylic acid transporters), member 4",,,,,,,
CGI_10009407,P51006,2E-111,Poly(A) polymerase type 3,,,,,,,
CGI_10009408,Q9BWT3,2E-77,Poly(A) polymerase gamma,,,,,,,
CGI_10009415,Q62186,1E-47,Translocon-associated protein subunit delta,,,,,,,
CGI_10009416,Q2KJB5,1E-08,Nostrin,,,,,,,
CGI_10009418,Q9ESN6,4E-10,Tripartite motif-containing protein 2,,,,,,,
CGI_10009419,Q9ESN6,3E-09,Tripartite motif-containing protein 2,,,,,,,
CGI_10009420,Q7Z5J8,4E-104,Ankyrin and armadillo repeat-containing protein,,,,,,,
CGI_10009421,Q13163,6E-101,Dual specificity mitogen-activated protein kinase kinase 5,CGI_10009421,243.728042199453,-0.9031410145285,0.328452494032882,-2.74968536070268,0.00596525133062964,0.0357464628362745
CGI_10009423,Q99PV0,0,Pre-mRNA-processing-splicing factor 8,,,,,,,
CGI_10009424,P51810,2E-17,G-protein coupled receptor 143,,,,,,,
CGI_10009425,Q6PDK8,2E-77,Protein deltex-4,,,,,,,
CGI_10009426,Q8VDN4,2E-27,Coiled-coil domain-containing protein 92,,,,,,,
CGI_10009427,Q8K0U4,3E-83,Heat shock 70 kDa protein 12A,,,,,,,
CGI_10009429,E9Q6B2,5E-18,Uncharacterized protein,,,,,,,
CGI_10009430,Q0V989,4E-42,.,,,,,,,
CGI_10009431,O75382,2E-09,Tripartite motif-containing protein 3,,,,,,,
CGI_10009433,Q8R2E9,5E-165,ERO1-like protein beta,CGI_10009433,87.4812693760922,1.63999412386827,0.521987814891525,3.14182453513609,0.00167898621689583,0.0140440277540611
CGI_10009434,Q08BY0,8E-88,"Protein midA homolog, mitochondrial",,,,,,,
CGI_10009435,Q6DGZ1,2E-100,B9 domain-containing protein 2,,,,,,,
CGI_10009436,Q9NUW8,1E-179,Tyrosyl-DNA phosphodiesterase 1,,,,,,,
CGI_10009438,Q8WXR4,9E-132,Myosin-IIIb,,,,,,,
CGI_10009439,Q29RY7,3E-28,Fibroleukin,,,,,,,
CGI_10009440,P12804,1E-24,Fibroleukin,,,,,,,
CGI_10009442,P34576,6E-09,Transmembrane cell adhesion receptor mua-3,,,,,,,
